Unnamed: 0,date,first_open_x,last_close_x,max_high,min_low,avg_return,volatility_return,volatility_log_return,total_volume,last_momentum_3,avg_true_range,session_return,range,range_ratio,range_ratio_close,up_moves,down_moves,up_move_ratio,avg_body,std_body,max_body,min_body,avg_candle_range,std_close,last_close_y,bullish_count,bearish_count,first_open_y,first_last_change,rsi_14_mean,rsi_14_std,ema_20_mean,macd_mean,macd_signal_mean,macd_diff_mean,macd_diff_std,atr_14_mean,bb_upper_mean,bb_lower_mean,bb_mavg_mean,count_is_doji,count_is_hammer,count_is_inverted_hammer,count_is_bullish_engulfing,count_is_bearish_engulfing,count_is_morning_star,close,session_volume,prev_high,prev_low,prev_close,rolling_high,rolling_low,zone_mid,zone_top,zone_bottom,vol_zone_top,vol_zone_bottom,avg_dist_to_prev_high,min_dist_to_prev_high,avg_dist_to_prev_low,max_dist_to_prev_low,avg_ratio_to_high,avg_ratio_to_low,broke_prev_high,broke_prev_low,breakout_above_magnitude,breakout_below_magnitude,broke_above_prev_high_any,broke_above_prev_high_sum,broke_below_prev_low_any,broke_below_prev_low_sum,broke_above_zone_top_any,broke_above_zone_top_sum,broke_below_zone_bottom_any,broke_below_zone_bottom_sum,broke_above_prev_close_any,broke_above_prev_close_sum,broke_below_prev_close_any,broke_below_prev_close_sum,minutes_to_breakout_above_close,minutes_to_breakout_below_close,cluster,cluster_prob
139,2024-07-22,2406.71,2395.43,2408.27,2388.7,-3.064167755162285e-06,0.0006712417557704,0.0006710145349484,74861,-0.0013965432428152,1.919203539822988,-0.0046868962193202,19.570000000000164,0.0081314325365333,0.0081697231812243,53,60,0.4690265486725664,0.9680530973451476,0.9846553588575456,7.150000000000091,0.0099999999997635,1.8400884955752,3.37855575671955,2395.43,53,60,2406.71,-11.2800000000002,47.26342184478786,9.23243082827073,2402.855104146764,-0.5612632232646159,-0.6076323856741929,0.046369162409577,0.4195047723179076,1.925164475975142,2406.785363072437,2398.855920113403,2402.8206415929203,14,7,3,5,6,6,2395.43,74861,2429.21,2393.71,2396.32,2474.8,2460.2,2467.5,2471.15,2463.85,2404.15,2402.09,-26.880530973451364,-39.57000000000016,8.619469026548636,13.559999999999944,-0.7571980342606572,0.2428019375703295,0.0,1.0,0.0,5.010000000000218,False,0,True,5,False,0,True,113,True,109,True,12,0.0,485.0,-1,0.0
140,2024-07-23,2398.21,2403.53,2411.91,2388.17,2.998949889769079e-05,0.0004823643381199,0.0004823196036436,80095,-0.0007857255697548,1.7849557522123998,0.0022183211645352,23.73999999999978,0.009899049707907,0.0098771390413266,58,55,0.5132743362831859,0.9189380530973142,0.6387590687528467,3.0799999999999272,0.0500000000001819,1.759999999999997,6.520031041969373,2403.53,58,55,2398.21,5.320000000000164,53.005051008952,11.997163072580392,2400.0195170110533,0.4799857266771222,0.4294345922375481,0.050551134439574,0.4113829207925064,1.864968584928141,2403.964409523413,2395.9149002111003,2399.9396548672566,8,4,6,8,9,5,2403.53,80095,2408.27,2388.7,2395.43,2429.21,2393.71,2411.46,2420.335,2402.585,2408.162,2404.413,-7.52292035398227,-19.949999999999815,12.047079646017892,22.360000000000127,-0.3844108313526507,0.6155891175487315,1.0,1.0,3.6399999999998727,0.5299999999997453,True,13,True,5,False,0,True,58,True,86,True,34,0.0,60.0,-1,0.0
143,2024-07-26,2371.67,2379.06,2379.59,2365.12,3.455762199261715e-05,0.0004908858862051,0.0004909152188242,76920,0.001060365068545,1.7019469026548768,0.0031159478342264,14.470000000000256,0.0061011860840674,0.0060822341597102,59,53,0.5267857142857143,0.8536283185840631,0.754763517773802,4.170000000000073,0.0,1.6866371681416064,2.4269212806876888,2379.06,59,54,2371.67,7.389999999999873,52.41687102050694,6.014294480297027,2371.886388764595,0.2053040326455525,0.1435344268224066,0.0617696058231458,0.2277880101251058,1.843309850068206,2374.699358533606,2368.9002078380754,2371.799783185841,13,3,6,6,3,5,2379.06,76920,2382.4,2362.68,2369.82,2422.95,2409.7,2416.325,2419.6375,2413.0125,2373.497,2371.974,-10.073185840708051,-16.210000000000036,9.646814159292202,16.38000000000011,-0.5108106151063544,0.489189334183709,0.0,0.0,0.0,0.0,False,0,False,0,False,0,True,113,True,103,True,25,0.0,55.0,-1,0.0
151,2024-08-07,2385.81,2402.3,2406.9,2385.58,2.844423092206184e-05,0.0006041154091102,0.0006043350151241,83693,-0.0001498339340563,1.906194690265476,0.0069116987522057,21.320000000000164,0.0089361684291708,0.0088748282895559,63,49,0.5625,0.9336283185840828,0.7931076556664033,4.480000000000018,0.0,1.8336283185840527,4.053423719859442,2402.3,63,50,2385.81,16.490000000000236,51.31674900795204,9.982798629783142,2394.739405158072,-0.3111890164957236,-0.5296436187093282,0.2184546022136045,0.3773265594857253,2.0289855765451152,2398.6651554699333,2390.164729485819,2394.414942477876,9,2,5,8,3,4,2402.3,83693,2416.21,2388.71,2394.64,2458.65,2364.06,2411.355,2435.0025,2387.7075,2393.435,2391.191,-21.269115044247812,-29.72000000000025,6.2308849557521855,18.050000000000185,-0.7734223371209265,0.2265776265154385,0.0,1.0,0.0,3.130000000000109,False,0,True,8,False,0,True,3,True,61,True,75,50.0,0.0,-1,0.0
152,2024-08-08,2394.24,2406.26,2415.38,2392.34,1.4758364440892573e-05,0.0006066814524438,0.0006068686656813,92878,0.0004573500307674,2.021504424778784,0.0050203822507353,23.039999999999964,0.0096230954290296,0.0095750251427526,59,53,0.5267857142857143,0.9422123893805092,0.8279328114057737,4.489999999999782,0.0,1.9573451327433813,6.386558466460436,2406.26,59,54,2394.24,12.020000000000437,52.67388665559872,11.852354242346363,2399.0828277837527,0.4870092951729519,0.5135949723192099,-0.0265856771462579,0.5555616811048457,1.957863266681665,2403.769061047419,2394.5085318729352,2399.138796460177,11,4,4,6,8,12,2406.26,92878,2406.9,2385.58,2402.3,2416.21,2388.71,2402.46,2409.335,2395.585,2395.978,2393.553,-7.283185840708037,-14.090000000000146,14.036814159292126,27.65999999999985,-0.3416128282877651,0.6583871248079218,1.0,0.0,8.480000000000018,0.0,True,26,False,0,True,20,True,51,True,33,True,84,400.0,0.0,-1,0.0
154,2024-08-12,2428.5,2445.72,2446.41,2428.17,5.1952514508132896e-05,0.000337351100268,0.0003373296938673,61481,0.0007078588701263,1.380265486725654,0.0070907967881408,18.23999999999978,0.0075108091414452,0.0074579265001716,60,51,0.5405405405405406,0.6192920353982504,0.4971646694976801,2.400000000000091,0.0,1.3581415929203402,4.7080137033536,2445.72,60,53,2428.5,17.2199999999998,59.82671603896404,7.4439387497065725,2437.817829461783,0.9586683041850572,0.9567702617307556,0.0018980424543017,0.1888769291593866,1.416866629287585,2440.4837225622327,2435.100498676705,2437.792110619469,15,6,5,5,8,3,2445.72,61481,2432.49,2416.78,2431.42,2415.38,2392.34,2403.86,2409.62,2398.1000000000004,2442.57,2440.65,6.6147787610621664,-3.699999999999818,22.324778761061747,28.98999999999978,0.4210552730749248,1.4210552094212054,1.0,0.0,13.920000000000073,0.0,True,100,False,0,True,113,False,0,True,106,True,11,30.0,0.0,-1,0.0
156,2024-08-14,2460.75,2454.01,2479.7,2449.46,-3.857331775696328e-05,0.0006588381564053,0.0006590927045393,76457,-0.005487224169723,1.9420353982300909,-0.0027390023366858,30.23999999999978,0.0122889362999084,0.0123226881716047,62,51,0.5486725663716814,0.9564601769911578,1.2392494274717971,7.059999999999945,0.0300000000002,1.9084070796460264,5.339838723374896,2454.01,62,51,2460.75,-6.739999999999782,53.0105928754353,12.481368468278072,2468.532127818978,0.3360851170260237,0.4452597847934764,-0.1091746677674527,0.4367905441347847,1.7769002337293438,2472.5336745023537,2464.8329361171154,2468.683305309735,8,1,4,5,5,5,2454.01,76457,2472.42,2458.4,2464.79,2446.41,2428.17,2437.29,2441.85,2432.73,2474.925,2471.742,-3.827876106194757,-18.40999999999985,10.192123893805226,19.199999999999815,-0.2730296599975108,0.7269702686758182,1.0,1.0,7.279999999999745,8.940000000000055,True,48,True,2,True,113,False,0,True,84,True,37,140.0,0.0,-1,0.0
157,2024-08-15,2453.54,2446.79,2469.95,2432.09,-2.583621634863205e-05,0.0006931257746155,0.0006936190103926,72732,0.0051432256898371,1.8307079646017568,-0.0027511269431107,37.85999999999967,0.0154307653431367,0.0154733344504431,58,52,0.5272727272727272,0.9207964601769768,1.4219454364613142,8.38000000000011,0.0,1.828672566371664,5.1313290619953,2446.79,58,55,2453.54,-6.75,48.05089695100603,15.942355777203137,2457.094090754392,-0.918795319226396,-0.8517840440331823,-0.0670112751932135,0.8319068519334932,1.8210317696029696,2462.1170074333054,2452.221204956075,2457.1691061946904,23,7,5,5,3,9,2446.79,72732,2479.7,2449.46,2454.01,2472.42,2458.4,2465.41,2468.915,2461.905,2456.002,2452.016,-24.03725663716797,-45.42999999999984,6.202743362831809,17.309999999999945,-0.7948827990173726,0.2051171679138454,0.0,1.0,0.0,17.36999999999989,False,0,True,8,True,1,True,105,True,94,True,38,0.0,0.0,-1,0.0
159,2024-08-19,2503.18,2490.82,2507.09,2486.42,1.1688844742623308e-05,0.0007481957633472,0.0007467638479943,79963,0.0003172652538323,1.8684070796460508,-0.0049377192211506,20.67000000000008,0.0082574964644971,0.0082984719891441,57,56,0.504424778761062,0.8679646017699109,0.7351058710097146,3.599999999999909,0.0099999999997635,1.7289380530973844,5.318643039349805,2490.82,57,56,2503.18,-12.359999999999673,51.52632420941544,15.770689068748442,2497.693848844044,1.1824328816045375,1.3732001483394736,-0.1907672667349357,0.6703234291333018,2.033116182393152,2503.977498480592,2491.8433776256024,2497.910438053097,8,8,5,3,13,6,2490.82,79963,2492.44,2451.05,2487.61,2469.95,2432.09,2451.02,2460.485,2441.5550000000003,2503.826,2500.563,6.250707964601721,-4.380000000000109,47.64070796460159,55.26999999999998,0.1510197587238942,1.1510197345634696,1.0,0.0,14.650000000000093,0.0,True,97,False,0,True,113,False,0,True,113,True,4,0.0,440.0,-1,0.0
162,2024-08-22,2502.25,2494.07,2510.48,2491.19,-4.711301273199521e-05,0.0005092290705416,0.0005093323717606,75590,-0.0021524735441795,1.868318584070784,-0.0032690578479367,19.289999999999964,0.00770906184434,0.0077343458683998,54,58,0.4821428571428571,0.856991150442455,0.7816761808490125,3.199999999999818,0.0,1.8221238938052984,3.196101543420112,2494.07,54,59,2502.25,-8.179999999999836,46.00873107574124,11.240285850564335,2504.643709171085,-0.5027576579203948,-0.456504174517256,-0.0462534834031387,0.4713698672338378,1.7738010076560315,2508.9863645328137,2500.408458476036,2504.697411504425,12,7,1,6,5,11,2494.07,75590,2519.47,2504.36,2507.42,2529.11,2497.23,2513.17,2521.1400000000003,2505.2,2507.434,2501.343,-15.643274336282982,-25.39999999999964,-0.5332743362833084,5.960000000000036,-1.0352927399729042,-0.0352928061542365,0.0,1.0,0.0,13.170000000000073,False,0,True,70,False,0,True,78,True,33,True,107,135.0,0.0,-1,0.0
163,2024-08-23,2493.09,2500.31,2503.76,2490.52,2.2175662203449783e-05,0.0003538607464778,0.00035386119007,65137,0.0002320250587062,1.3792920353982232,0.0028960045565944,13.240000000000236,0.005310678715971,0.0052953433774212,64,49,0.5663716814159292,0.6645132743362724,0.590379707038571,2.75,0.0199999999999818,1.3791150442477809,3.2982062128529366,2500.31,64,49,2493.09,7.2199999999998,50.14420825545809,11.709052587450245,2496.420176724511,-0.1081542412012315,-0.1677983489822694,0.0596441077810378,0.2934671519280417,1.500168813137883,2499.443450456496,2493.251514145274,2496.3474823008846,9,8,10,3,7,9,2500.31,65137,2510.48,2491.19,2494.07,2519.47,2504.36,2511.915,2515.6925,2508.1375,2494.004,2492.611,-14.009026548672578,-19.110000000000127,5.280973451327386,11.259999999999764,-0.7262325465235904,0.2737674016360805,0.0,1.0,0.0,0.6700000000000728,False,0,True,3,False,0,True,113,True,75,True,44,0.0,0.0,-1,0.0
166,2024-08-28,2515.79,2503.83,2516.08,2493.55,-8.787170956730357e-06,0.0005509961817607,0.0005506468360291,77225,0.0003595785739114,1.7235398230088397,-0.0047539739008423,22.529999999999745,0.0089554374570213,0.0089982147350258,49,64,0.4336283185840708,0.8646017699114907,0.6796283587875435,3.099999999999909,0.0199999999999818,1.6465486725663632,4.200942325132029,2503.83,49,64,2515.79,-11.960000000000036,45.471366963955234,10.070691255864096,2507.4930725610493,-0.5283881952889884,-0.5041275323230955,-0.0242606629658928,0.3803707794388424,1.7093743012661982,2511.512133414604,2503.5789462314137,2507.5455398230088,11,5,5,6,4,8,2503.83,77225,2517.43,2503.45,2506.36,2526.7,2508.63,2517.665,2522.1825,2513.1475,2510.151,2506.594,-10.596283185840548,-22.86999999999989,3.3837168141594702,11.680000000000293,-0.7579601164435207,0.2420398120257263,0.0,1.0,0.0,9.899999999999636,False,0,True,27,False,0,True,108,True,81,True,51,0.0,90.0,-1,0.0
167,2024-08-29,2516.55,2510.15,2524.29,2503.55,2.257260304365086e-05,0.0007290822327413,0.0007282676402846,78513,-0.000187204754204,1.8550442477876017,-0.0025431642526475,20.73999999999978,0.0082414416562356,0.0082624544349938,61,52,0.5398230088495575,0.9594690265486892,0.9473382265853696,5.150000000000091,0.0100000000002182,1.743274336283176,3.627953674817836,2510.15,61,52,2516.55,-6.400000000000091,54.31491196152063,13.096158658921896,2516.6325763209347,0.8709277642584851,0.9294568107743766,-0.0585290465158915,0.7112712765483254,1.7637586517058768,2522.056193598421,2511.3924524192776,2516.7243230088498,8,5,5,6,6,7,2510.15,78513,2516.08,2493.55,2503.83,2517.43,2503.45,2510.44,2513.9349999999995,2506.945,2518.832,2516.649,1.504247787610708,-10.989999999999782,24.03424778761045,29.9699999999998,0.0667664323499464,1.0667663879646845,1.0,0.0,8.210000000000036,0.0,True,98,False,0,True,105,True,3,True,113,True,1,0.0,525.0,-1,0.0
170,2024-09-03,2494.67,2492.52,2506.18,2484.67,-2.790912476329508e-05,0.0005777299199473,0.0005777952503148,82163,-0.0008938771419981,1.845221238938031,-0.0008618374374166,21.509999999999764,0.0086223829203861,0.0086298204227046,60,53,0.5309734513274337,0.929292035398236,0.9451867888092484,5.5,0.0099999999997635,1.7938053097344917,4.076761772759147,2492.52,60,53,2494.67,-2.150000000000091,47.8124509753371,13.697180470812604,2497.9763877343844,-0.3432949375460178,-0.3037517985455579,-0.0395431390004598,0.449498946686552,1.6552499992883674,2502.475503186211,2493.5615764598065,2498.018539823009,7,5,5,3,5,7,2492.52,82163,2507.18,2495.2,2500.44,2526.75,2512.07,2519.41,2523.08,2515.74,2495.991,2493.727,-9.767168141592771,-21.23999999999978,2.212831858407246,10.039999999999964,-0.8152894262356704,0.1847104902918825,0.0,1.0,0.0,10.529999999999744,False,0,True,51,False,0,True,113,True,35,True,89,205.0,0.0,-1,0.0
171,2024-09-04,2494.93,2487.03,2496.69,2471.77,-1.940542705011e-05,0.0004664701295077,0.0004664541499181,77425,-0.0001487496984803,1.8214159292035208,-0.0031664215028075,24.92000000000008,0.0099882561835402,0.0100199836753075,52,60,0.4642857142857143,0.8927433628318312,0.7157828478910512,3.150000000000091,0.0,1.8025663716814,6.102838950211032,2487.03,52,61,2494.93,-7.899999999999636,46.90637920073949,14.53212513400505,2487.554145664173,-0.4607813863471108,-0.5041610226839073,0.0433796363367964,0.5273411201294436,1.9119964966225265,2492.088199926593,2482.980127507036,2487.5341637168144,7,7,3,3,6,10,2487.03,77425,2506.18,2484.67,2492.52,2507.18,2495.2,2501.19,2504.1849999999995,2498.195,2488.821,2486.197,-19.148495575221062,-32.98000000000002,2.361504424778696,11.739999999999782,-0.8902136069273673,0.1097863465826301,0.0,1.0,0.0,12.900000000000093,False,0,True,41,False,0,True,113,True,26,True,89,0.0,120.0,-1,0.0
