date,close,session_volume,prev_high,prev_low,prev_close,rolling_high,rolling_low,zone_mid,zone_top,zone_bottom,vol_zone_top,vol_zone_bottom,avg_dist_to_prev_high,min_dist_to_prev_high,avg_dist_to_prev_low,max_dist_to_prev_low,avg_ratio_to_high,avg_ratio_to_low,broke_prev_high,broke_prev_low,breakout_above_magnitude,breakout_below_magnitude,broke_above_prev_high_any,broke_above_prev_high_sum,broke_below_prev_low_any,broke_below_prev_low_sum,broke_above_zone_top_any,broke_above_zone_top_sum,broke_below_zone_bottom_any,broke_below_zone_bottom_sum,broke_above_prev_close_any,broke_above_prev_close_sum,broke_below_prev_close_any,broke_below_prev_close_sum,minutes_to_breakout_above_close,minutes_to_breakout_below_close
2024-07-11,2408.33,33268,2381.82,2366.66,2380.55,2368.77,2356.14,2362.455,2365.6125,2359.2974999999997,2383.936,2380.305,2.3565789473682663,-3.0900000000001455,17.516578947368576,43.18000000000029,0.1554471498628673,1.155447083899811,1.0,0.0,31.159999999999854,0.0,True,75,False,0,True,114,False,0,True,100,True,34,25.0,0.0
2024-07-12,2401.34,37447,2412.98,2378.49,2408.33,2381.82,2366.66,2374.24,2378.0299999999997,2370.45,2404.207,2401.261,-8.706403508771956,-20.289999999999964,25.78359649122828,31.0,-0.2524326835702874,0.7475672874358021,0.0,0.0,0.0,0.0,False,0,False,0,True,114,False,0,True,19,True,105,0.0,0.0
2024-07-15,2416.11,37899,2410.1,2391.44,2401.34,2412.98,2378.49,2395.7349999999997,2404.3574999999996,2387.1124999999997,2415.718,2410.576,1.1348245614035677,-8.239999999999782,19.794824561403424,28.639999999999873,0.060815889634924264,1.060815836044359,1.0,0.0,10.760000000000218,0.0,True,76,False,0,True,106,False,0,True,114,True,1,0.0,190.0
2024-07-18,2462.84,76798,2479.27,2461.91,2473.83,2444.02,2425.11,2434.565,2439.2925,2429.8375,2466.347,2463.274,-12.193684210526278,-17.929999999999836,5.166315789473848,12.550000000000182,-0.7024011237399231,0.29759881865639354,0.0,1.0,0.0,1.7100000000000364,False,0,True,5,True,114,False,0,True,2,True,114,185.0,0.0
2024-07-22,2396.36,75667,2429.21,2393.71,2396.04,2474.8,2460.2,2467.5,2471.15,2463.85,2404.15,2402.09,-26.93289473684214,-39.570000000000164,8.56710526315786,13.559999999999945,-0.7586730698075795,0.24132690202340729,0.0,1.0,0.0,5.010000000000218,False,0,True,5,False,0,True,114,True,110,True,13,0.0,485.0
2024-07-23,2404.42,81051,2408.27,2388.7,2396.36,2429.21,2393.71,2411.46,2420.335,2402.585,2408.162,2404.413,-7.490701754385934,-19.949999999999818,12.07929824561423,22.360000000000127,-0.3827645054482046,0.6172354434531776,1.0,1.0,3.6399999999998727,0.5299999999997453,True,13,True,5,False,0,True,58,True,83,True,38,0.0,45.0
2024-07-26,2378.93,78028,2382.4,2362.68,2369.82,2422.95,2409.7,2416.325,2419.6375,2413.0125,2373.631,2370.536,-10.015263157894827,-16.210000000000036,9.704736842105428,16.38000000000011,-0.5078733595345506,0.4921265897555128,0.0,0.0,0.0,0.0,False,0,False,0,False,0,True,114,True,104,True,25,0.0,55.0
2024-07-30,2394.38,67565,2396.62,2385.36,2393.46,2379.82,2365.12,2372.4700000000003,2376.1450000000004,2368.795,2389.575,2388.581,-7.769122807017423,-10.779999999999745,3.4908771929823406,9.019999999999982,-0.6899753212293309,0.3100245899607304,0.0,0.0,0.0,0.0,False,0,False,0,True,114,False,0,True,2,True,114,555.0,0.0
2024-08-07,2400.64,84600,2416.21,2388.71,2395.66,2458.65,2364.06,2411.355,2435.0025,2387.7075,2393.435,2391.191,-21.219122807017573,-29.720000000000255,6.280877192982428,18.050000000000182,-0.7716044376513866,0.22839552598497825,0.0,1.0,0.0,3.130000000000109,False,0,True,8,False,0,True,3,True,49,True,83,75.0,0.0
2024-08-08,2409.81,94173,2406.9,2385.58,2400.64,2416.21,2388.71,2402.46,2409.335,2395.585,2395.978,2393.553,-7.193771929824634,-14.090000000000146,14.126228070175529,27.659999999999854,-0.3374189302254057,0.6625810228702813,1.0,0.0,8.480000000000018,0.0,True,27,False,0,True,21,True,51,True,34,True,82,400.0,0.0
2024-08-12,2445.94,62261,2432.49,2416.78,2431.82,2415.38,2392.34,2403.86,2409.62,2398.1000000000004,2444.535,2441.647,6.674736842105483,-3.699999999999818,22.384736842105063,29.159999999999854,0.4248718279588691,1.4248717643051494,1.0,0.0,13.970000000000255,0.0,True,101,False,0,True,114,False,0,True,106,True,16,35.0,0.0
2024-08-14,2450.78,77934,2472.42,2458.4,2467.23,2446.46,2428.17,2437.315,2441.8875,2432.7425000000003,2474.925,2471.742,-3.984122807017608,-21.639999999999873,10.035877192982374,19.199999999999818,-0.2841742170359056,0.7158257116374234,1.0,1.0,7.279999999999745,8.940000000000055,True,48,True,3,True,114,False,0,True,77,True,48,170.0,0.0
2024-08-15,2450.93,74310,2479.7,2449.46,2450.78,2472.42,2458.4,2465.41,2468.915,2461.9049999999997,2456.002,2452.016,-24.078771929824395,-45.429999999999836,6.161228070175388,17.309999999999945,-0.796255659178866,0.203744307752352,0.0,1.0,0.0,17.36999999999989,False,0,True,9,True,1,True,106,True,108,True,12,0.0,90.0
2024-08-19,2489.94,80990,2492.44,2451.05,2487.85,2469.95,2432.09,2451.02,2460.4849999999997,2441.5550000000003,2503.826,2500.563,6.173947368421004,-4.380000000000109,47.56394736842088,55.26999999999998,0.1491651901245671,1.1491651659641426,1.0,0.0,14.650000000000091,0.0,True,97,False,0,True,114,False,0,True,114,True,4,0.0,440.0
